date,symbol,close
2021-12-01,QQQ,387.03
2022-01-01,BTC,38483.12
2022-01-01,GLD,168.09
2022-01-01,QQQ,353.18
2022-02-01,BTC,43193.23
2022-02-01,GLD,178.38
2022-02-01,QQQ,337.37
2022-03-01,BTC,45538.68
2022-03-01,GLD,180.65
2022-03-01,QQQ,353.12
2022-04-01,BTC,37714.88
2022-04-01,GLD,176.91
2022-04-01,QQQ,305.11
2022-05-01,BTC,31792.31
2022-05-01,GLD,171.14
2022-05-01,QQQ,300.27
2022-06-01,BTC,19784.73
2022-06-01,GLD,168.46
2022-06-01,QQQ,273.52
2022-07-01,BTC,23336.90
2022-07-01,GLD,164.10
2022-07-01,QQQ,307.85
2022-08-01,BTC,20049.76
2022-08-01,GLD,159.27
2022-08-01,QQQ,292.05
2022-09-01,BTC,19431.79
2022-09-01,GLD,154.67
2022-09-01,QQQ,261.28
2022-10-01,BTC,20495.77
2022-10-01,GLD,151.91
2022-10-01,QQQ,271.73
2022-11-01,BTC,17168.57
2022-11-01,GLD,164.81
2022-11-01,QQQ,286.80
2022-12-01,BTC,16547.50
2022-12-01,GLD,169.64
2022-12-01,QQQ,260.95
2023-01-01,BTC,23139.28
2023-01-01,GLD,179.41
2023-01-01,QQQ,288.72
2023-02-01,BTC,23147.35
2023-02-01,GLD,169.78
2023-02-01,QQQ,287.68
2023-03-01,BTC,28478.48
2023-03-01,GLD,183.22
2023-03-01,QQQ,314.99
2023-04-01,BTC,29268.81
2023-04-01,GLD,184.80
2023-04-01,QQQ,316.59
2023-05-01,BTC,27219.66
2023-05-01,GLD,182.32
2023-05-01,QQQ,341.55
2023-06-01,BTC,30477.25
2023-06-01,GLD,178.27
2023-06-01,QQQ,363.08
2023-07-01,BTC,29230.11
2023-07-01,GLD,182.35
2023-07-01,QQQ,377.10
2023-08-01,BTC,25931.47
2023-08-01,GLD,180.02
2023-08-01,QQQ,371.50
2023-09-01,BTC,26967.92
2023-09-01,GLD,171.45
2023-09-01,QQQ,352.63
2023-10-01,BTC,34667.78
2023-10-01,GLD,184.09
2023-10-01,QQQ,345.35
2023-11-01,BTC,37712.75
2023-11-01,GLD,188.75
2023-11-01,QQQ,382.71
2023-12-01,BTC,42265.19
2023-12-01,GLD,191.17
2023-12-01,QQQ,404.09
2024-01-01,BTC,42582.61
2024-01-01,GLD,188.45
2024-01-01,QQQ,411.44
2024-02-01,BTC,61198.38
2024-02-01,GLD,189.31
2024-02-01,QQQ,433.18
2024-03-01,BTC,71333.65
2024-03-01,GLD,205.72
2024-03-01,QQQ,438.70
2024-04-01,BTC,60636.86
2024-04-01,GLD,211.87
2024-04-01,QQQ,419.52
2024-05-01,BTC,67491.41
2024-05-01,GLD,215.30
2024-05-01,QQQ,445.32
2024-06-01,BTC,62678.29
2024-06-01,GLD,215.01
2024-06-01,QQQ,474.14
2024-07-01,BTC,64619.25
2024-07-01,GLD,226.55
2024-07-01,QQQ,466.18
2024-08-01,BTC,58969.90
2024-08-01,GLD,231.29
2024-08-01,QQQ,471.33
2024-09-01,BTC,63329.50
2024-09-01,GLD,243.06
2024-09-01,QQQ,483.68
2024-10-01,BTC,70215.19
2024-10-01,GLD,253.51
2024-10-01,QQQ,479.50
2024-11-01,BTC,96449.05
2024-11-01,GLD,245.59
2024-11-01,QQQ,505.16
2024-12-01,BTC,93429.20
2024-12-01,GLD,242.13
2024-12-01,QQQ,507.45
2025-01-01,BTC,102405.02
2025-01-01,GLD,258.56
