as_of,sleeve,call,dist_pct,confidence,close,next_close,next_ret_pct,result,scored_on,source
2015-09-18,QQQ,FLAT,-2.25,MEDIUM,97.46,97.76,0.308,WRONG,2015-09-21,BACKFILL
2015-09-21,BTC,FLAT,-8.96,HIGH,227.09,230.62,1.554,WRONG,2015-09-22,BACKFILL
2015-09-21,GLD,HELD,-2.89,MEDIUM,108.53,107.79,-0.682,WRONG,2015-09-22,BACKFILL
2015-09-21,QQQ,FLAT,-1.95,LOW,97.76,96.3,-1.493,RIGHT,2015-09-22,BACKFILL
2015-09-22,BTC,FLAT,-7.53,HIGH,230.62,230.28,-0.147,RIGHT,2015-09-23,BACKFILL
2015-09-22,GLD,HELD,-3.5,MEDIUM,107.79,108.22,0.399,RIGHT,2015-09-23,BACKFILL
2015-09-22,QQQ,FLAT,-3.4,MEDIUM,96.3,96.37,0.073,WRONG,2015-09-23,BACKFILL
2015-09-23,BTC,FLAT,-7.64,HIGH,230.28,234.53,1.846,WRONG,2015-09-24,BACKFILL
2015-09-23,GLD,HELD,-3.07,MEDIUM,108.22,110.49,2.098,RIGHT,2015-09-24,BACKFILL
2015-09-23,QQQ,FLAT,-3.31,MEDIUM,96.37,96.02,-0.363,RIGHT,2015-09-24,BACKFILL
2015-09-24,BTC,FLAT,-5.91,HIGH,234.53,235.14,0.26,WRONG,2015-09-25,BACKFILL
2015-09-24,GLD,HELD,-1.01,LOW,110.49,109.81,-0.615,WRONG,2015-09-25,BACKFILL
2015-09-24,QQQ,FLAT,-3.64,MEDIUM,96.02,95.21,-0.844,RIGHT,2015-09-25,BACKFILL
2015-09-25,BTC,FLAT,-5.66,HIGH,235.14,239.14,1.701,WRONG,2015-09-28,BACKFILL
2015-09-25,GLD,HELD,-1.59,LOW,109.81,108.42,-1.266,WRONG,2015-09-28,BACKFILL
2015-09-25,QQQ,FLAT,-4.42,MEDIUM,95.21,92.5,-2.846,RIGHT,2015-09-28,BACKFILL
2015-09-28,BTC,FLAT,-4.05,MEDIUM,239.14,236.69,-1.025,RIGHT,2015-09-29,BACKFILL
2015-09-28,GLD,HELD,-2.79,MEDIUM,108.42,107.98,-0.406,WRONG,2015-09-29,BACKFILL
2015-09-28,QQQ,FLAT,-7.1,HIGH,92.5,92.02,-0.519,RIGHT,2015-09-29,BACKFILL
2015-09-29,BTC,FLAT,-5.03,HIGH,236.69,236.06,-0.266,RIGHT,2015-09-30,BACKFILL
2015-09-29,GLD,HELD,-3.14,MEDIUM,107.98,106.86,-1.037,WRONG,2015-09-30,BACKFILL
2015-09-29,QQQ,FLAT,-7.54,HIGH,92.02,94.14,2.304,WRONG,2015-09-30,BACKFILL
2015-09-30,BTC,FLAT,-5.28,HIGH,236.06,237.55,0.631,WRONG,2015-10-01,BACKFILL
2015-09-30,GLD,HELD,-4.1,MEDIUM,106.86,106.73,-0.122,WRONG,2015-10-01,BACKFILL
2015-09-30,QQQ,FLAT,-5.37,HIGH,94.14,94.56,0.446,WRONG,2015-10-01,BACKFILL
2015-10-01,BTC,FLAT,-4.64,MEDIUM,237.55,237.29,-0.109,RIGHT,2015-10-02,BACKFILL
2015-10-01,GLD,HELD,-4.16,MEDIUM,106.73,108.99,2.117,RIGHT,2015-10-02,BACKFILL
2015-10-01,QQQ,FLAT,-4.91,MEDIUM,94.56,96.22,1.755,WRONG,2015-10-02,BACKFILL
2015-10-02,BTC,FLAT,-4.65,MEDIUM,237.29,240.38,1.302,WRONG,2015-10-05,BACKFILL
2015-10-02,GLD,HELD,-2.09,MEDIUM,108.99,108.77,-0.202,WRONG,2015-10-05,BACKFILL
2015-10-02,QQQ,FLAT,-3.22,MEDIUM,96.22,97.6,1.434,WRONG,2015-10-05,BACKFILL
2015-10-05,BTC,FLAT,-3.3,MEDIUM,240.38,246.06,2.363,WRONG,2015-10-06,BACKFILL
2015-10-05,GLD,HELD,-2.25,MEDIUM,108.77,109.86,1.002,RIGHT,2015-10-06,BACKFILL
2015-10-05,QQQ,FLAT,-1.81,LOW,97.6,97.13,-0.482,RIGHT,2015-10-06,BACKFILL
2015-10-06,BTC,FLAT,-0.95,LOW,246.06,242.97,-1.256,RIGHT,2015-10-07,BACKFILL
2015-10-06,GLD,HELD,-1.24,LOW,109.86,109.7,-0.146,WRONG,2015-10-07,BACKFILL
